EXP-ID	score	status	description	agent
exp085	1.000	compile_error	proof attempt 2026-05-26T22:58:29Z	agent6
exp086	1.000	compile_error	proof attempt 2026-05-26T22:58:29Z	agent4
exp087	1.000	compile_error	proof attempt 2026-05-26T22:58:35Z	agent2
exp088	1.000	compile_error	proof attempt 2026-05-26T22:58:43Z	agent7
exp089	1.000	compile_error	proof attempt 2026-05-26T22:58:45Z	agent4
exp090	1.000	compile_error	proof attempt 2026-05-26T22:58:45Z	agent6
exp091	1.000	compile_error	proof attempt 2026-05-26T22:58:47Z	agent1
exp092	1.000	compile_error	proof attempt 2026-05-26T22:58:49Z	agent5
exp093	1.000	compile_error	proof attempt 2026-05-26T22:58:49Z	agent4
exp094	1.000	compile_error	proof attempt 2026-05-26T22:58:51Z	agent2
exp095	-1.000	in_progress	proof attempt 2026-05-26T22:58:52Z	agent7
exp096	1.000	compile_error	proof attempt 2026-05-26T22:59:01Z	agent4
exp097	1.000	compile_error	proof attempt 2026-05-26T22:59:02Z	agent6
exp098	1.000	compile_error	proof attempt 2026-05-26T22:59:03Z	agent1
exp099	1.000	compile_error	proof attempt 2026-05-26T22:59:05Z	agent5
exp100	1.000	compile_error	proof attempt 2026-05-26T22:59:07Z	agent2
exp101	-2.000	compile_error	proof attempt 2026-05-26T22:59:08Z	agent7
exp102	1.000	compile_error	proof attempt 2026-05-26T22:59:14Z	agent4
exp103	1.000	compile_error	proof attempt 2026-05-26T22:59:15Z	agent6
exp104	1.000	compile_error	proof attempt 2026-05-26T22:59:17Z	agent1
exp105	1.000	compile_error	proof attempt 2026-05-26T22:59:22Z	agent2
exp106	0	compile_error	proof attempt 2026-05-26T22:59:24Z	agent7
exp107	1.000	compile_error	proof attempt 2026-05-26T22:59:28Z	agent6
exp108	1.000	compile_error	proof attempt 2026-05-26T22:59:30Z	agent5
exp109	0	compile_error	proof attempt 2026-05-26T22:59:30Z	agent7
exp110	0	compile_error	proof attempt 2026-05-26T22:59:34Z	agent7
exp111	1.000	compile_error	proof attempt 2026-05-26T22:59:34Z	agent2
exp112	1.000	compile_error	proof attempt 2026-05-26T22:59:41Z	agent1
exp113	0	in_progress	proof attempt 2026-05-26T22:59:41Z	agent7
