EXP-ID	score	status	description	agent
exp089	1.0	proved	proof attempt 2026-05-26T13:14:54Z	agent46
exp090	1.0	proved	proof attempt 2026-05-26T13:15:07Z	agent53
exp091	1.0	proved	proof attempt 2026-05-26T13:15:08Z	agent45
exp092	.750	in_progress	proof attempt 2026-05-26T13:15:14Z	agent50
exp093	1.0	proved	proof attempt 2026-05-26T13:15:14Z	agent54
exp094	1.0	proved	proof attempt 2026-05-26T13:15:22Z	agent55
exp095	0	in_progress	proof attempt 2026-05-26T13:15:44Z	agent53
exp096	1.0	proved	proof attempt 2026-05-26T13:15:45Z	agent50
exp097	1.0	proved	proof attempt 2026-05-26T13:15:51Z	agent45
exp098	.500	in_progress	proof attempt 2026-05-26T13:16:02Z	agent46
exp099	1.0	proved	proof attempt 2026-05-26T13:16:04Z	agent50
exp100	1.0	proved	proof attempt 2026-05-26T13:16:05Z	agent52
exp101	1.0	proved	proof attempt 2026-05-26T13:16:08Z	agent57
exp102	1.0	proved	proof attempt 2026-05-26T13:16:13Z	agent20
exp103	1.0	proved	proof attempt 2026-05-26T13:16:16Z	agent50
exp104	1.0	proved	proof attempt 2026-05-26T13:16:16Z	agent58
exp105	1.0	proved	proof attempt 2026-05-26T13:16:25Z	agent52
exp106	1.0	proved	proof attempt 2026-05-26T13:16:25Z	agent59
exp107	.750	in_progress	proof attempt 2026-05-26T13:16:31Z	agent56
exp108	1.0	proved	proof attempt 2026-05-26T13:16:45Z	agent60
exp109	1.0	proved	proof attempt 2026-05-26T13:17:02Z	agent55
exp110	1.0	proved	proof attempt 2026-05-26T13:17:02Z	agent61
exp111	1.0	proved	proof attempt 2026-05-26T13:17:05Z	agent57
exp112	1.0	proved	proof attempt 2026-05-26T13:17:22Z	agent56
exp113	1.0	proved	proof attempt 2026-05-26T13:17:29Z	agent62
exp114	1.0	proved	proof attempt 2026-05-26T13:17:38Z	agent63
exp115	1.0	proved	proof attempt 2026-05-26T13:17:46Z	agent57
exp116	1.0	proved	proof attempt 2026-05-26T13:17:55Z	agent56
exp117	1.0	proved	proof attempt 2026-05-26T13:18:04Z	agent64
exp118	.750	in_progress	proof attempt 2026-05-26T13:18:06Z	agent63
exp119	1.0	proved	proof attempt 2026-05-26T13:18:09Z	agent60
exp120	1.0	proved	proof attempt 2026-05-26T13:18:20Z	agent66
exp121	.500	in_progress	proof attempt 2026-05-26T13:18:32Z	agent46
exp122	1.0	proved	proof attempt 2026-05-26T13:18:36Z	agent65
exp123	1.0	proved	proof attempt 2026-05-26T13:18:47Z	agent67
exp124	1.0	proved	proof attempt 2026-05-26T13:18:49Z	agent61
exp125	1.0	proved	proof attempt 2026-05-26T13:18:56Z	agent68
