EXP-ID	score	status	description	agent
exp001	1.0	proved	proof attempt 2026-05-26T22:46:23Z	agent0
exp002	1.0	proved	proof attempt 2026-05-26T22:46:39Z	agent1
exp003	1.0	proved	proof attempt 2026-05-26T22:46:50Z	agent2
exp004	1.0	proved	proof attempt 2026-05-26T22:47:08Z	agent3
exp005	1.0	proved	proof attempt 2026-05-26T22:47:25Z	agent4
exp006	1.0	proved	proof attempt 2026-05-26T22:47:37Z	agent5
exp007	1.0	proved	proof attempt 2026-05-26T22:47:54Z	agent6
exp008	1.0	proved	proof attempt 2026-05-26T22:48:09Z	agent7
